name,lat,lon,province,population,feature_code,geonameid
caldes de malavella,41.83333,2.81667,Girona,7071,PPLA3,3127036
caldes de montbui,41.63333,2.16667,Barcelona,17271,PPLA3,3127035
calella,41.61381,2.65423,Barcelona,18529,PPLA3,3127007
calera de leon,38.1,-6.33333,Badajoz,1029,PPLA3,2520529
calera y chozas,39.88278,-4.98213,Toledo,4738,PPLA3,2520528
caleruega,41.82548,-3.48593,Burgos,506,PPLA3,3127002
caleruela,39.87483,-5.25693,Toledo,261,PPLA3,2520526
calicasas,37.2713,-3.61345,Granada,571,PPLA3,2520512
calig,40.46262,0.35521,Castello,2231,PPLA3,3126997
calldetenes,41.92527,2.28378,Barcelona,2441,PPL,3110337
calles,39.72118,-0.97057,Valencia,464,PPLA3,2520505
callosa d'en sarria,38.65,-0.11667,Alicante,7815,PPLA3,2520503
callosa de segura,38.12497,-0.87822,Alicante,18034,PPLA3,2520502
callus,41.78146,1.78401,Barcelona,1909,PPLA3,11071631
calmarza,41.1581,-1.91196,Zaragoza,58,PPLA3,3126984
calomarde,40.37264,-1.57435,Teruel,76,PPLA3,3126975
calonge,41.85869,3.07926,Girona,10851,PPLA3,3126974
calonge de segarra,41.76132,1.47715,Barcelona,201,PPL,8604571
calp / calpe,38.6447,0.0445,Alicante,29550,PPL,2520496
caltojar,41.40226,-2.76436,Soria,77,PPLA3,3126971
calvarrasa de abajo,40.94638,-5.55258,Salamanca,1146,PPLA3,3126968
calvarrasa de arriba,40.90672,-5.59199,Salamanca,626,PPLA3,3126967
calvia,39.5657,2.50621,Illes Balears,51114,PPLA3,2520493
calvos de randin,41.9479,-7.89604,Ourense,1064,PPL,3126956
"calzada de bejar, la",40.41182,-5.81809,Salamanca,100,PPL,3119909
calzada de calatrava,38.70339,-3.77561,Ciudad Real,4392,PPL,2516122
calzada de don diego,40.905,-5.90279,Salamanca,199,PPLA3,3126949
calzada de los molinos,42.32724,-4.65293,Palencia,347,PPLA3,3126946
calzada de oropesa,39.97987,-5.29501,Toledo,563,ADM3,6361691
calzada de valdunciel,41.08663,-5.70219,Salamanca,650,PPLA3,3126944
calzada del coto,42.38613,-5.07809,Leon,261,PPLA3,3126947
calzadilla,40.06014,-6.53328,Caceres,493,PPLA3,3126940
calzadilla de los barros,38.3,-6.31667,Badajoz,914,PPL,2520490
calzadilla de tera,41.97899,-6.08243,Zamora,386,PPLA3,3126935
camaleno,43.15078,-4.69376,Cantabria,1029,PPLA3,3126931
camanas,40.64308,-1.13752,Teruel,135,PPLA3,3126928
camarasa,41.87486,0.87814,Lleida,805,PPLA3,3126923
camarena,40.09311,-4.11927,Toledo,3862,PPLA3,3126922
camarena de la sierra,40.15,-1.03333,Teruel,137,PPLA3,3126919
camarenilla,40.01672,-4.07624,Toledo,605,PPLA3,3126918
camargo,43.40744,-3.88498,Cantabria,31594,PPL,3126917
camarillas,40.61242,-0.75416,Teruel,84,PPLA3,3126916
camarinas,43.13115,-9.18172,Coruna,6082,PPLA3,3126915
camarles,40.78169,0.65509,Tarragona,3465,PPLA3,6559648
camarma de esteruelas,40.55032,-3.37295,Madrid,6808,PPLA3,3126913
camarzana de tera,41.99471,-6.02657,Zamora,929,PPLA3,3126909
camas,37.40202,-6.03314,Sevilla,26485,PPLA3,2520477
cambados,42.51222,-8.8131,Pontevedra,13898,PPLA3,3126899
cambil,37.67934,-3.56537,Jaen,2912,PPLA3,2520476
cambre,43.29438,-8.34736,Coruna,23879,PPLA3,3126890
cambrils,41.06997,1.05949,Tarragona,37042,PPLA3,3126888
caminomorisco,40.32719,-6.28923,Caceres,1211,PPL,3126864
caminreal,40.83883,-1.32416,Teruel,606,PPLA3,3126863
camos,42.08776,2.76288,Girona,677,PPLA3,3126858
"campana, la",37.56891,-5.4267,Sevilla,5514,PPL,2516118
campanario,38.8644,-5.61744,Badajoz,5256,PPLA3,2520456
campanet,39.7747,2.96506,Illes Balears,2590,PPLA3,2520453
campaspero,41.49208,-4.19608,Valladolid,1311,PPLA3,3126838
campazas,42.14219,-5.49349,Leon,151,PPLA3,3126837
campdevanol,42.22445,2.1686,Girona,3469,PPL,3126835
campelles,42.29471,2.1407,Girona,136,PPL,3126831
campillo de altobuey,39.6,-1.8,Cuenca,1600,PPLA3,2520436
campillo de aragon,41.12648,-1.84393,Zaragoza,152,PPLA3,3126811
campillo de aranda,41.61015,-3.73017,Burgos,181,PPLA3,3126810
campillo de arenas,37.55535,-3.63552,Jaen,2073,PPL,2520435
campillo de azaba,40.50951,-6.68705,Salamanca,187,PPLA3,3126809
campillo de deleitosa,39.70297,-5.57436,Caceres,68,PPLA3,2520433
campillo de duenas,40.88376,-1.68505,Guadalajara,91,PPLA3,3126808
"campillo de la jara, el",39.58918,-5.05532,Toledo,446,PPL,2518638
campillo de llerena,38.50196,-5.83139,Badajoz,1442,PPLA3,2520430
campillo de ranas,41.08601,-3.31431,Guadalajara,189,PPLA3,3126805
"campillo, el",37.69454,-6.6298,Huelva,2202,PPL,2518641
"campillo, el",41.25793,-5.01487,Valladolid,230,PPL,3123607
campillos,37.04826,-4.86308,Malaga,8663,PPLA3,2520428
campillos-paravientos,39.98333,-1.55,Cuenca,126,PPLA3,2520427
campillos-sierra,40.1,-1.7,Cuenca,56,PPLA3,3126802
campins,41.71667,2.46667,Barcelona,496,PPLA3,3126800
campisabalos,41.26667,-3.13333,Guadalajara,79,PPLA3,3126799
campllong,41.89975,2.83263,Girona,525,ADM3,6534033
campo,42.40956,0.39615,Huesca,330,PPLA3,3126791
campo de criptana,39.40463,-3.12492,Ciudad Real,14820,PPLA3,2520413
"campo de mirra/camp de mirra, el",38.70001,-0.79462,Alicante,444,ADM3,6355427
"campo de penaranda, el",40.98491,-5.25799,Salamanca,299,PPL,3123599
campo de san pedro,41.42992,-3.54599,Segovia,345,PPLA3,3126768
campo de villavidel,42.43906,-5.52808,Leon,210,PPLA3,3126767
campo lameiro,42.54382,-8.54286,Pontevedra,2009,ADM3,3126762
campo lugar,39.2,-5.76667,Caceres,982,PPL,2518634
campo real,40.33333,-3.38333,Madrid,6075,PPLA3,3126750
campofrio,37.76652,-6.57363,Huelva,785,PPLA3,2520410
campolara,42.11953,-3.4274,Burgos,59,PPLA3,3126761
camponaraya,42.57799,-6.66709,Leon,4220,PPLA3,3126754
campoo de enmedio,43.00013,-4.12392,Cantabria,3798,ADM3,6360674
campoo de yuso,43.03271,-3.98589,Cantabria,703,ADM3,6360664
camporredondo,41.47333,-4.50503,Valladolid,168,PPLA3,3126748
camporrells,41.95856,0.52136,Huesca,153,PPLA3,3126742
camporrobles,39.65,-1.4,Valencia,1402,PPLA3,2520405
campos,39.43099,3.01935,Illes Balears,9964,PPLA3,2520403
campos del paraiso,40.0221,-2.70615,Cuenca,932,ADM3,6357586
campos del rio,38.03966,-1.35306,Murcia,2220,PPLA3,2520402
campotejar,37.48235,-3.61771,Granada,1362,PPLA3,2520401
camprodon,42.31185,2.36506,Girona,2466,PPLA3,3126722
camprovin,42.35573,-2.71865,La Rioja,179,ADM3,6359027
camunas,39.42704,-3.45503,Toledo,1886,PPL,2520399
canada,38.6739,-0.8133,Alicante,1237,PPLA3,2520397
canada de benatanduz,40.57934,-0.53682,Teruel,39,PPLA3,3126705
canada de calatrava,38.85429,-4.02103,Ciudad Real,118,PPLA3,2520387
"canada de verich, la",40.87133,-0.09992,Teruel,106,PPL,3119899
canada del hoyo,39.96667,-1.9,Cuenca,284,PPLA3,2520373
canada juncosa,39.55714,-2.21747,Cuenca,294,ADM3,6357404
canada rosal,37.59924,-5.21016,Sevilla,3272,PPLA3,2520344
canada vellida,40.70811,-0.91489,Teruel,36,PPLA3,3126701
canal de berdun,42.60415,-0.85882,Huesca,365,PPL,3128204
canalejas de penafiel,41.52513,-4.11546,Valladolid,296,PPLA3,3126691
canalejas del arroyo,40.3685,-2.49408,Cuenca,313,PPLA3,3126692
canales,41.00331,-4.90163,Avila,47,PPLA3,3126690
canales de la sierra,42.14233,-3.02458,La Rioja,88,PPLA3,3126683
canals,38.96251,-0.58443,Valencia,14024,PPLA3,2520320
canamaque,41.44453,-2.23792,Soria,33,PPLA3,3126674
canamares,40.45203,-2.23983,Cuenca,536,PPLA3,3126673
canamero,39.37995,-5.38857,Caceres,1716,PPLA3,2520314
canar,36.92684,-3.42808,Granada,468,PPLA3,2520312
canas,42.3924,-2.84649,La Rioja,93,PPLA3,3126668
"canavate, el",39.54285,-2.30342,Cuenca,163,PPL,2518629
canaveral,39.79198,-6.3913,Caceres,1189,PPLA3,2520295
canaveral de leon,38.01667,-6.51667,Huelva,459,PPLA3,2520292
canaveras,40.35994,-2.39611,Cuenca,381,PPLA3,3126664
canaveruelas,40.40024,-2.63719,Cuenca,176,PPLA3,3126663
candamo,43.45476,-6.05394,Asturias,2124,ADM3,6359917
candasnos,41.50213,0.06425,Huesca,478,PPLA3,3126631
candelaria,28.3548,-16.37268,Santa Cruz de Tenerife,26290,PPLA3,2520283
candelario,40.36806,-5.74499,Salamanca,1005,PPLA3,3126624
candeleda,40.15521,-5.24045,Avila,5233,PPLA3,3126622
candilichera,41.70434,-2.30123,Soria,136,PPLA3,3126617
canejan,42.83836,0.739,Lleida,84,PPL,3126593
canena,38.0493,-3.4831,Jaen,2105,PPLA3,2520272
canencia,40.90728,-3.73523,Madrid,423,PPLA3,3126589
caner d'adri,42.05193,2.73822,Girona,624,PPL,3130932
canet d'en berenguer,39.68333,-0.21667,Valencia,6014,PPLA3,2520271
canet de mar,41.59054,2.58116,Barcelona,14183,PPLA3,3126584
canet lo roig,40.55142,0.24308,Castello,836,PPLA3,3126581
canete,40.05,-1.65,Cuenca,933,PPLA3,3126582
canete de las torres,37.86717,-4.31835,Cordoba,3124,PPLA3,2520268
